slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ellinwa01,Wayne Ellington,SHOOTING GUARD,31,MIAMI HEAT,25,12,533,69,184,57,155,14,16,6,41,29,24,3,14,40
ellinwa01,Wayne Ellington,SHOOTING GUARD,31,DETROIT PISTONS,28,26,764,115,273,81,217,25,33,8,52,43,30,3,26,52
embiijo01,Joel Embiid,CENTER,24,PHILADELPHIA 76ERS,64,64,2154,580,1199,79,263,522,649,160,711,234,46,122,226,211
ennisja01,James Ennis,SMALL FORWARD,28,HOUSTON ROCKETS,40,25,949,104,211,44,120,42,58,37,80,27,38,16,23,111
ennisja01,James Ennis,SMALL FORWARD,28,PHILADELPHIA 76ERS,18,2,281,34,83,11,36,16,23,23,42,14,3,7,11,39
eubandr01,Drew Eubanks,POWER FORWARD,21,SAN ANTONIO SPURS,23,0,113,15,26,0,0,11,13,6,28,7,2,5,8,11
evansja02,Jacob Evans,SHOOTING GUARD,21,GOLDEN STATE WARRIORS,30,1,204,18,53,4,15,0,1,6,19,23,5,3,11,28
evansja01,Jawun Evans,POINT GUARD,22,PHOENIX SUNS,7,0,64,3,13,0,2,0,0,1,11,10,3,0,6,8
evansja01,Jawun Evans,POINT GUARD,22,OKLAHOMA CITY THUNDER,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
evansty01,Tyreke Evans,SHOOTING GUARD,29,INDIANA PACERS,69,18,1402,257,660,77,216,115,160,33,168,166,58,18,118,117
exumda01,Dante Exum,POINT GUARD,23,UTAH JAZZ,42,1,664,101,241,18,62,68,86,16,52,110,14,5,52,69
farieke01,Kenneth Faried,CENTER,29,BROOKLYN NETS,12,0,118,25,42,1,5,10,16,15,29,2,2,4,6,8
