Name,TeamAbbreviation,GamesPlayed,Minutes,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtsMade,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,Usage,season,season_type
DeMar DeRozan,TOR,74,2620,5203,27.297297297297302,9.297297297297296,19.202702702702698,0.4841660802251935,0.4459459459459459,1.6756756756756757,0.2661290322580645,0.2727272727272727,7.364864864864866,3.4864864864864864,15.108108108108109,1.135135135135135,0.20270270270270271,0.1875,0.18998527245949925,0.8484848484848485,0.08025889967637541,0.4341331278390656,0.4773462783171521,0.5444743935309974,0.2432432432432433,1.2297297297297298,0.06403940886699508,0.0,0.0,34.207389749702024,2016-17,regular season
Nicolas Batum,CHA,77,2617,5212,15.116883116883116,3.3506493506493507,7.389610389610389,0.4534270650263621,1.7532467532467533,5.259740259740259,0.3333333333333333,0.3349875930521092,3.1558441558441563,3.064935064935065,3.636363636363636,4.558441558441558,0.7012987012987013,0.4573643410852713,0.4796747967479675,0.8666666666666667,0.4158110882956879,0.4897049897119342,0.4727926078028747,0.5262206148282098,0.3116883116883117,0.5064935064935064,0.06854130052724078,0.012987012987012988,0.0024691358024691358,21.85886402753872,2016-17,regular season
Otto Porter Jr.,WAS,80,2605,5328,13.4375,3.325,5.775,0.5757575757575758,1.85,4.2625,0.4340175953079179,0.4352941176470588,1.2375,4.425,2.225,5.3625,0.1875,0.6654135338345865,0.7254098360655737,0.9662162162162162,0.4246575342465753,0.5188964330413016,0.6077210460772104,0.6323529411764706,0.55,0.125,0.021645021645021644,0.025,0.0058651026392961885,14.907453726863432,2016-17,regular season
DeAndre Jordan,LAC,81,2571,5114,12.703703703703706,5.08641975308642,7.098765432098767,0.7165217391304348,0.0,0.02469135802469136,0.0,0.0,2.5308641975308643,7.358024691358024,2.814814814814815,0.0,0.0,0.7233009708737864,0.9341692789968652,0.0,0.0034662045060658573,0.6953997400346621,0.7140381282495667,0.6664507772020726,2.2962962962962963,0.2716049382716049,0.03826086956521739,0.0,0.0,15.430163706025775,2016-17,regular season
Isaiah Thomas,BOS,76,2570,5203,28.934210526315788,5.75,10.88157894736842,0.5284159613059249,3.2236842105263164,8.5,0.3792569659442725,0.3792569659442725,7.763157894736842,3.9210526315789473,7.578947368421053,5.842105263157895,3.8289473684210527,0.3409610983981693,0.3465116279069768,0.6040816326530613,0.43856076035302105,0.5310732471068754,0.5461642905634759,0.6166573191250702,0.18421052631578946,1.3026315789473684,0.11970979443772672,0.1973684210526316,0.02321981424148607,33.73556283399414,2016-17,regular season
Tobias Harris,DET,82,2566,5070,16.109756097560975,4.902439024390244,9.134146341463415,0.5367156208277704,1.329268292682927,3.829268292682927,0.3471337579617834,0.34935897435897434,2.3170731707317067,4.926829268292684,4.878048780487805,3.9512195121951224,0.03658536585365853,0.5024875621890548,0.5246753246753246,0.9908256880733946,0.2953904045155221,0.4997329716981132,0.5319849482596425,0.565981148243359,0.4146341463414634,0.5365853658536586,0.05874499332443257,0.024390243902439025,0.006369426751592357,21.8216649251132,2016-17,regular season
Marcus Morris,DET,79,2565,5043,13.987341772151899,3.835443037974684,8.227848101265822,0.4661538461538461,1.4936708860759491,4.518987341772152,0.33053221288515405,0.33618233618233617,1.835443037974684,2.911392405063291,4.759493670886076,4.10126582278481,0.37974683544303794,0.3795379537953795,0.3965517241379311,0.9152542372881356,0.3545183714001986,0.4740554,0.4766633565044687,0.5064161319890009,0.3291139240506329,0.27848101265822783,0.033846153846153845,0.0,0.0,20.391206508568466,2016-17,regular season
Marcin Gortat,WAS,82,2556,5183,10.768292682926829,4.7560975609756095,8.195121951219512,0.5803571428571429,0.0,0.024390243902439025,0.0,0.0,1.2560975609756098,6.7560975609756095,2.756097560975609,0.0,0.0,0.7102564102564103,0.8419452887537994,0.0,0.002967359050445104,0.5340361607142857,0.5786350148367952,0.5918230563002681,1.4878048780487805,0.6097560975609756,0.0744047619047619,0.012195121951219513,0.5,14.793911407559431,2016-17,regular season
Myles Turner,IND,81,2541,5086,14.481481481481481,4.987654320987653,9.308641975308642,0.5358090185676393,0.4938271604938271,1.432098765432099,0.3448275862068966,0.3478260869565217,3.0246913580246915,8.098765432098766,1.8765432098765433,1.4444444444444444,0.037037037037037035,0.8118811881188119,0.8961748633879781,0.975,0.13333333333333333,0.4867421173762946,0.5333333333333333,0.5853293413173652,0.9382716049382716,0.5555555555555556,0.059681697612732086,0.0,0.0,19.79241231209735,2016-17,regular season
Carmelo Anthony,NYK,74,2538,5064,22.41891891891892,6.094594594594594,13.08108108108108,0.4659090909090909,2.0405405405405403,5.6891891891891895,0.3586698337292161,0.363855421686747,4.108108108108108,3.810810810810811,8.378378378378379,4.662162162162162,1.4594594594594594,0.31263858093126384,0.3271461716937355,0.7615894039735099,0.30309575233981284,0.4627523895727734,0.4877609791216703,0.5317307692307692,0.5405405405405406,0.5135135135135135,0.03925619834710744,0.0,0.0,29.036123951378194,2016-17,regular season
