Name,TeamAbbreviation,GamesPlayed,Minutes,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
Ryan Anderson,HOU,72,2117,0.9444444444444444,2.5277777777777777,0.3055555555555556,0.6388888888888888,0.19444444444444445,0.09722222222222222,0.013888888888888888,0.1527777777777778,0.4861111111111111,2016-17,regular season
JaMychal Green,MEM,77,2101,1.0909090909090908,2.5844155844155843,0.6883116883116883,0.4025974025974026,0.4675324675324675,0.07792207792207792,0.14285714285714285,0.05194805194805195,0.35064935064935066,2016-17,regular season
James Johnson,MIA,76,2085,3.631578947368421,8.736842105263158,2.1578947368421053,1.4736842105263157,1.4342105263157894,0.2368421052631579,0.4868421052631579,0.618421052631579,0.8552631578947368,2016-17,regular season
Bojan Bogdanovic,WAS,81,2083,1.3703703703703705,3.2962962962962963,0.8148148148148148,0.5555555555555556,0.5555555555555556,0.1851851851851852,0.07407407407407407,0.19753086419753085,0.3580246913580247,2016-17,regular season
Derrick Rose,NYK,64,2082,4.421875,10.625,2.640625,1.78125,1.265625,0.453125,0.921875,0.59375,1.1875,2016-17,regular season
Blake Griffin,LAC,61,2076,4.918032786885246,11.885245901639344,2.8688524590163933,2.0491803278688523,1.7704918032786885,0.2786885245901639,0.819672131147541,0.6885245901639344,1.360655737704918,2016-17,regular season
Kevin Durant,GSW,62,2070,4.838709677419356,11.774193548387096,2.7419354838709675,2.096774193548387,1.7419354838709675,0.3870967741935484,0.6129032258064516,0.5645161290322581,1.5322580645161292,2016-17,regular season
Jonas Valanciunas,TOR,80,2066,0.7125,1.7375,0.4,0.3125,0.2,0.1,0.1,0.0875,0.225,2016-17,regular season
Darren Collison,SAC,68,2063,4.588235294117646,11.088235294117649,2.676470588235294,1.9117647058823528,1.6911764705882353,0.5294117647058824,0.4558823529411765,0.29411764705882354,1.6176470588235294,2016-17,regular season
Patrick Beverley,HOU,67,2058,4.1940298507462686,10.17910447761194,2.4029850746268657,1.791044776119403,1.9402985074626864,0.2835820895522388,0.1791044776119403,0.41791044776119396,1.3731343283582091,2016-17,regular season
Austin Rivers,LAC,74,2054,2.756756756756757,6.797297297297297,1.4729729729729732,1.2837837837837838,0.8243243243243243,0.10810810810810813,0.5405405405405406,0.3108108108108108,0.972972972972973,2016-17,regular season
TJ Warren,PHX,66,2048,1.1363636363636365,2.590909090909091,0.8181818181818182,0.3181818181818182,0.6515151515151515,0.07575757575757576,0.09090909090909093,0.16666666666666666,0.15151515151515152,2016-17,regular season
Jameer Nelson,DEN,75,2045,5.133333333333334,12.226666666666668,3.1733333333333333,1.96,1.9733333333333332,0.72,0.48,0.56,1.4,2016-17,regular season
Nikola Jokic,DEN,73,2038,4.917808219178082,11.164383561643836,3.589041095890411,1.3287671232876712,2.9315068493150687,0.3424657534246575,0.3150684931506849,0.2328767123287671,1.095890410958904,2016-17,regular season
Seth Curry,DAL,70,2029,2.7,6.357142857142858,1.7428571428571429,0.9571428571428572,0.7428571428571429,0.2714285714285714,0.7285714285714285,0.15714285714285714,0.8,2016-17,regular season
Cory Joseph,TOR,80,2003,3.3125,8.0125,1.925,1.3875,0.95,0.3375,0.6375,0.5,0.8875,2016-17,regular season
Monta Ellis,IND,74,1998,3.189189189189189,7.432432432432432,2.135135135135135,1.054054054054054,1.148648648648649,0.5135135135135135,0.472972972972973,0.35135135135135137,0.7027027027027027,2016-17,regular season
Andre Iguodala,GSW,76,1998,3.4342105263157894,7.986842105263157,2.3157894736842106,1.118421052631579,1.3947368421052628,0.3684210526315789,0.5526315789473685,0.2894736842105263,0.8289473684210527,2016-17,regular season
